#{"t_start": 1712318080.420827, "env_id": "None"}
r,l,t
1-0.03025,252,20.225793
-0.032935,252,38.799373
-0.035049,252,57.887343
-0.036892,252,78.224403
-0.037807,252,98.141764
-0.040969,252,118.479469
-0.046763,252,138.405283
-0.046775,252,158.110997
-0.04425,252,177.885631
-0.041872,252,198.053893
-0.039785,252,218.178409
-0.039334,252,237.826999
-0.033141,252,256.841164
-0.030181,252,276.7900420.-0.031573,252,296.8085550.-0.03407,252,316.51419
-0.037971,252,336.6212280-0.037433,252,356.6701710.-0.037192,252,375.08034800-0.038865,252,394.417100.0-0.040434,252,414.41370.01-0.036226,252,433.9080.005-0.034204,252,453.160.0127-0.034318,252,472.60.00131-0.028932,252,492.-0.00037-0.023815,252,511.0.003266-0.02231,252,531.0.005972-0.022721,252,5500.00653,2-0.018736,252,50.006271,25-0.015318,252,0.008185,253-0.009322,2520.003495,253,-0.009274,250.001932,253,-0.008872,25-0.007067,253,-0.006249,25-0.009656,253,-0.005628,25-0.017908,253,-0.00578,252-0.023748,253-0.001941,25-0.027572,253,0.006254,252-0.039165,25-0.001,252,769-0.04088-0.007527,252,789.-0.04051-0.004412,252,809.-0.04152-0.004406,252,827.-0.03208-0.002212,252,847.-0.03080-0.001384,252,866.-0.030742.1e-05,252,886.53-0.031-0.001114,252,904.67-0.0340.005127,252,919.905-0.030.010252,252,935.3536-0.00.00926,252,953.778401-00.011603,252,971.184775-0.007202,252,987.634278
0.007552,252,1005.853781
0.015153,252,1023.733638
0.022447,252,1043.013151
0.019492,252,1061.701466
0.020833,252,1080.621467
0.023919,252,1098.856946
0.020475,252,1117.043519
0.017584,252,1136.785892
0.015287,252,1155.391006
0.017692,252,1172.698337
0.018371,252,1191.42293
0.013825,252,1209.257956
0.014197,252,1228.240935
0.014407,252,1245.60522
0.018953,252,1264.340862
0.015885,252,1283.676948
0.014853,252,1299.97311
0.013034,252,1315.686514
0.014373,252,1333.092783
0.014774,252,1352.73319
0.015536,252,1372.192789
0.014657,252,1390.522368
0.010949,252,1410.122002
0.008161,252,1429.314034
0.00701,252,1447.85143
0.003944,252,1466.517413
0.004669,252,1485.73558
0.00364,252,1505.015075
0.005569,252,1524.479372
0.005465,252,1542.799487
0.005317,252,1561.264049
0.004596,252,1579.945324
0.000881,252,1599.298336
-0.002852,252,1617.980644
-0.003876,252,1636.447284
-0.00567,252,1655.530101
-0.006407,252,1674.376727
-0.002107,252,1693.284829
-0.003387,252,1712.547523
-0.006917,252,1732.146131
-0.006046,252,1751.542344
-0.008087,252,1770.90157
-0.006325,252,1790.030461
-0.006977,252,1809.169785
-0.006985,252,1828.20149
-0.004773,252,1847.437128
-0.00519,252,1866.219547
-0.006237,252,1885.117049
-0.004662,252,1904.31412
-0.004724,252,1922.020529
-0.004035,252,1941.641213
-0.0052,252,1961.025527
-0.003177,252,1980.037791
-0.005142,252,1999.280659
-0.001445,252,2018.410242
-0.002041,252,2037.300217
-0.004828,252,2055.888452
-0.003793,252,2075.207618
-0.008727,252,2093.075457
-0.008507,252,2111.388206
-0.009312,252,2129.940799
-0.015499,252,2148.979388
-0.016088,252,2168.255792
-0.014961,252,2187.352621
-0.014582,252,2205.794131
-0.01798,252,2224.907108
-0.018586,252,2243.754305
-0.019943,252,2262.468668
-0.019841,252,2281.267765
-0.019042,252,2300.492656
-0.016571,252,2319.19078
-0.014601,252,2337.880187
-0.011263,252,2357.67355
-0.016976,252,2376.860605
-0.015978,252,2393.60086
-0.012977,252,2410.794045
-0.014038,252,2430.095631
-0.013377,252,2449.432627
-0.014545,252,2467.932014
-0.015514,252,2486.742058
-0.013936,252,2505.598752
-0.012496,252,2523.929239
-0.0125,252,2541.949821
-0.012954,252,2559.743988
-0.013946,252,2577.897362
-0.010048,252,2592.858392
-0.00952,252,2607.981824
-0.009624,252,2622.74559
-0.006562,252,2637.689572
0.000149,252,2652.377484
0.005455,252,2669.322039
0.004987,252,2688.308893
0.007228,252,2707.01519
0.005352,252,2725.903984
0.005954,252,2744.827395
0.00262,252,2764.559328
0.002846,252,2784.023921
0.003571,252,2802.591259
0.005473,252,2821.4686
0.008208,252,2840.216927
0.008383,252,2858.482389
0.008887,252,2877.882817
0.005017,252,2897.515072
0.004502,252,2916.075159
0.011905,252,2934.919373
0.015281,252,2954.253682
0.01448,252,2973.808311
0.015171,252,2993.569126
0.016826,252,3011.724179
0.018148,252,3030.625066
0.018918,252,3050.24146
0.01741,252,3069.112012
0.015167,252,3087.500238
0.014441,252,3105.994536
0.019803,252,3125.706782
0.021249,252,3143.71645
0.021989,252,3162.740191
0.020277,252,3181.639455
0.018892,252,3200.126679
0.016931,252,3219.344028
0.016071,252,3238.326511
0.017202,252,3256.275529
0.018383,252,3275.131553
0.01858,252,3294.399892
0.021318,252,3312.833557
0.019557,252,3327.532573
0.01976,252,3343.598002
0.022607,252,3358.468998
0.01854,252,3373.13419
0.020067,252,3387.804823
0.017305,252,3403.702528
0.016465,252,3418.245228
0.016125,252,3434.492911
0.017893,252,3451.388794
0.017831,252,3467.347157
0.017678,252,3482.335231
0.015883,252,3497.041904
0.013693,252,3511.868867
0.012568,252,3529.397231
0.012852,252,3545.065588
0.011068,252,3559.870157
0.011163,252,3574.211457
0.011768,252,3589.000561
0.010655,252,3603.91731
0.008005,252,3619.188808
0.008629,252,3634.337919
0.008788,252,3649.353523
0.008042,252,3663.88344
0.006755,252,3678.365772
27,253,3652.163459
-0.010569,253,3666.738021
-0.010414,253,3681.309836
.457121,1258,3684.43701

78.023792,1258,1267.39962
77.683524,1258,1272.936836
78.254253,1258,1281.099241
78.338593,1258,1286.096016
75.919788,1258,1290.474461
77.267283,1258,1297.295957
77.820564,1258,1301.883023
78.079414,1258,1306.278696
78.677738,1258,1313.018571
79.092158,1258,1317.051253
78.666482,1258,1322.385086
77.762691,1258,1330.775425
78.685037,1258,1336.51198
78.756268,1258,1342.241143
79.143626,1258,1350.477583
77.465914,1258,1355.993305
79.041261,1258,1361.800479
78.723586,1258,1369.940906
79.108302,1258,1375.33401
79.032276,1258,1380.703781
78.47408,1258,1388.600758
79.194816,1258,1394.145844
79.514445,1258,1399.894013
79.291396,1258,1408.046142
79.559852,1258,1413.661933
79.531718,1258,1419.265821
78.357293,1258,1427.369597
77.316457,1258,1433.005334
79.848823,1258,1438.474385
79.790471,1258,1446.641773
79.851808,1258,1451.730169
79.657742,1258,1457.167793
79.302368,1258,1465.560946
79.612626,1258,1471.028938
79.338576,1258,1476.629433
78.834702,1258,1484.889606
79.168514,1258,1490.65421
78.841424,1258,1496.31501
79.906254,1258,1504.416542
79.741434,1258,1509.934275
79.589595,1258,1515.521734
80.087893,1258,1523.821062
80.187606,1258,1529.168066
80.007675,1258,1534.368973
80.049317,1258,1541.993183
80.346798,1258,1547.09182
80.460863,1258,1552.674716
79.918964,1258,1560.453881
80.018848,1258,1565.507592
80.191389,1258,1571.017028
80.153055,1258,1579.424622
80.319389,1258,1585.074235
80.475529,1258,1590.596934
80.413739,1258,1598.758966
80.554281,1258,1604.053413
80.65927,1258,1608.514754
80.943459,1258,1617.618215
80.948957,1258,1622.859172
80.773694,1258,1627.432521
81.143899,1258,1636.052771
81.215474,1258,1641.719972
80.513847,1258,1646.589492
81.555374,1258,1655.511482
81.408246,1258,1660.68793
81.414229,1258,1665.477451
81.573633,1258,1674.000607
81.777794,1258,1679.328409
81.229334,1258,1684.29085
81.355471,1258,1693.062366
81.822248,1258,1698.743832
81.925221,1258,1703.483916
81.627025,1258,1712.696203
81.749732,1258,1718.29528
81.954954,1258,1723.152607
82.272457,1258,1732.487264
82.179614,1258,1738.071628
82.401416,1258,1742.773676
82.549749,1258,1751.936028
82.408905,1258,1757.552403
82.678019,1258,1762.373359
82.126862,1258,1770.870061
82.655484,1258,1776.552435
82.962787,1258,1781.456256
82.770304,1258,1790.345151
82.671367,1258,1795.879713
82.900269,1258,1800.602223
82.877049,1258,1809.50419
82.930473,1258,1814.860585
83.034655,1258,1819.694165
83.046497,1258,1828.381098
82.99222,1258,1834.026549
83.125126,1258,1838.949117
83.245318,1258,1847.659862
83.429273,1258,1853.197909
83.247878,1258,1857.821988
83.139073,1258,1866.991789
83.363869,1258,1872.001805
83.153859,1258,1876.739233
83.381253,1258,1885.940497
83.42938,1258,1891.393284
82.825423,1258,1896.383842
83.23519,1258,1904.787306
82.981155,1258,1910.354732
83.586731,1258,1914.914204
83.272207,1258,1923.737175
83.546571,1258,1929.528511
83.43151,1258,1934.451675
83.487401,1258,1943.533013
83.483198,1258,1949.143229
83.717677,1258,1954.100794
83.727359,1258,1962.193403
83.57556,1258,1968.023957
83.798253,1258,1972.943864
83.75486,1258,1981.883888
83.859968,1258,1987.531614
83.598589,1258,1995.763992
83.958879,1258,2001.337441
84.206467,1258,2007.003801
83.819403,1258,2014.965824
83.993789,1258,2020.354133
84.324654,1258,2026.036073
84.349802,1258,2033.909186
83.930949,1258,2038.96507
84.584545,1258,2044.386053
84.002274,1258,2052.596301
84.388406,1258,2058.035416
84.400187,1258,2063.808773
83.978622,1258,2071.984924
84.536356,1258,2077.067066
84.853796,1258,2082.458852
84.622941,1258,2089.935633
84.867923,1258,2094.991473
84.821682,1258,2100.472675
84.579225,1258,2108.274108
85.034993,1258,2113.584939
85.166952,1258,2119.0762
85.023072,1258,2126.880195
84.831831,1258,2132.169104
84.797539,1258,2137.803367
84.787015,1258,2145.970131
84.594087,1258,2151.562942
84.741375,1258,2157.203152
84.805202,1258,2165.389753
84.590948,1258,2171.082121
84.425849,1258,2176.69471
84.796739,1258,2184.431539
84.878271,1258,2189.747697
84.698032,1258,2195.018039
84.970964,1258,2203.052655
84.877274,1258,2208.359523
84.565988,1258,2214.043533
84.774172,1258,2222.230053
84.74692,1258,2227.301354
84.693745,1258,2232.952757
84.440843,1258,2241.126436
84.952932,1258,2246.004072
84.738455,1258,2251.743915
84.904227,1258,2259.958779
85.135921,1258,2265.501971
84.995013,1258,2270.702451
84.796364,1258,2278.959166
85.136688,1258,2284.586698
85.170218,1258,2290.271114
85.030112,1258,2298.224226
85.003178,1258,2303.590105
85.189378,1258,2308.991322
85.06021,1258,2316.861748
85.09633,1258,2322.188399
84.979529,1258,2327.708056
85.139802,1258,2335.829412
85.114199,1258,2341.429384
85.093012,1258,2347.120142
85.020207,1258,2355.532012
85.041944,1258,2361.273226
85.254524,1258,2366.750241
85.292805,1258,2374.838018
85.454204,1258,2379.851081
85.465056,1258,2384.98057
85.2857,1258,2392.15393
85.711233,1258,2397.047272
85.589309,1258,2401.298336
85.661232,1258,2409.485857
85.94975,1258,2415.08306
86.215892,1258,2419.902427
86.126427,1258,2429.181034
86.496133,1258,2434.9324
86.854244,1258,2439.704742
86.803932,1258,2448.429403
86.635475,1258,2453.775986
86.840537,1258,2458.308896
87.228319,1258,2466.849758
86.887089,1258,2472.363727
86.995667,1258,2476.973022
87.150512,1258,2485.812598
87.280387,1258,2491.221187
87.225589,1258,2496.034044
87.38739,1258,2504.710457
87.789477,1258,2509.876204
87.754635,1258,2514.308776
87.439564,1258,2522.975036
87.941774,1258,2528.152946
87.851474,1258,2532.6778
88.161717,1258,2541.061349
87.651402,1258,2545.922384
87.957327,1258,2550.270187
88.154167,1258,2559.259029
88.303173,1258,2564.620943
88.209099,1258,2568.771625
88.474914,1258,2576.783292
88.216159,1258,2580.933314
88.230389,1258,2584.341501
88.470216,1258,2591.698846
88.724209,1258,2596.002896
88.304777,1258,2599.32488
88.739504,1258,2606.908597
88.438505,1258,2610.945113
88.767973,1258,2614.213792
89.147525,1258,2621.726376
88.904289,1258,2625.760317
89.025786,1258,2629.116402
88.779168,1258,2636.614344
89.159987,1258,2640.655784
89.32405,1258,2643.99283
89.469828,1258,2651.611586
89.410408,1258,2656.189139
89.563527,1258,2660.397075
89.483474,1258,2669.152931
90.418214,1258,2674.699872
90.20765,1258,2679.298107
90.950456,1258,2688.253761
90.40073,1258,2693.593988
90.830355,1258,2698.486713
90.966847,1258,2707.210553
90.442511,1258,2712.832156
91.188538,1258,2717.494561
90.960781,1258,2726.285927
91.435178,1258,2731.51776
91.362085,1258,2736.200864
91.404452,1258,2745.2961
91.472155,1258,2751.150001
91.372298,1258,2756.108377
91.502462,1258,2765.101134
91.575445,1258,2770.74041
91.214289,1258,2775.597908
92.172224,1258,2784.407089
91.99974,1258,2789.435488
92.353449,1258,2794.21765
91.900776,1258,2803.1959
92.055795,1258,2808.483037
92.199199,1258,2813.270749
92.161079,1258,2821.930239
91.966838,1258,2827.636427
92.411233,1258,2832.150073
92.477396,1258,2841.093174
92.286558,1258,2846.554838
92.567193,1258,2851.014422
92.656033,1258,2859.961074
92.54106,1258,2865.563968
92.372274,1258,2870.491495
92.432715,1258,2879.469101
92.72715,1258,2885.328149
92.618472,1258,2890.29749
92.313687,1258,2898.888957
92.691706,1258,2904.553071
92.573321,1258,2909.149741
92.986773,1258,2917.925309
92.749373,1258,2923.030212
92.795291,1258,2927.992798
92.675984,1258,2936.832985
92.650619,1258,2942.199766
92.972337,1258,2947.135598
92.802828,1258,2956.567272
92.790252,1258,2962.088232
92.954239,1258,2970.334313
92.814281,1258,2976.153363
92.829894,1258,2981.803881
92.767545,1258,2990.14961
93.045529,1258,2995.468888
93.224882,1258,3000.61889
92.708962,1258,3008.376801
93.398896,1258,3013.648062
93.595558,1258,3019.040753
93.360301,1258,3027.380079
93.365352,1258,3032.950027
93.69643,1258,3038.615375
93.305598,1258,3047.055048
93.558187,1258,3052.552418
93.30736,1258,3057.962559
93.527444,1258,3065.981229
93.608817,1258,3071.270298
93.557685,1258,3076.811816
93.487307,1258,3084.440185
93.693143,1258,3089.503433
93.714495,1258,3094.966735
93.694343,1258,3103.000921
93.812822,1258,3108.701702
93.638217,1258,3114.55903
93.821397,1258,3122.749429
94.082044,1258,3127.50826
93.823185,1258,3132.913718
93.904288,1258,3140.896406
93.79252,1258,3146.483914
94.029019,1258,3151.740938
94.022367,1258,3160.103171
93.977783,1258,3165.560568
93.917312,1258,3171.184676
93.872667,1258,3178.861315
93.676396,1258,3184.145391
94.043398,1258,3188.670907
93.697196,1258,3197.563902
93.924082,1258,3203.324763
93.924854,1258,3208.125473
93.952667,1258,3216.782381
93.790507,1258,3222.461166
93.75672,1258,3226.912978
93.902074,1258,3235.771214
93.818695,1258,3240.6977
94.022381,1258,3245.116217
94.160252,1258,3253.793706
93.943861,1258,3259.18354
94.235073,1258,3264.157758
93.987199,1258,3272.809592
93.790865,1258,3278.525905
94.015252,1258,3283.426489
93.740025,1258,3291.968883
94.207488,1258,3297.369674
94.255979,1258,3301.909504
93.894659,1258,3310.571715
94.170851,1258,3315.02199
94.143616,1258,3318.390277
94.138614,1258,3326.001158
93.959416,1258,3330.759196
94.311555,1258,3334.318504
94.134765,1258,3341.907258
94.043755,1258,3345.980981
94.156053,1258,3349.355627
94.213814,1258,3356.801271
94.034941,1258,3360.786388
94.210474,1258,3364.185952
94.214624,1258,3371.496997
94.218307,1258,3375.65438
94.317419,1258,3379.003067
94.19112,1258,3386.308537
94.247425,1258,3390.624259
94.293309,1258,3394.474827
94.029907,1258,3402.105075
94.111498,1258,3406.162827
94.161919,1258,3409.50481
94.139029,1258,3416.740979
94.192107,1258,3420.685222
94.253776,1258,3424.793866
94.197886,1258,3433.651792
94.304669,1258,3438.43808
94.245075,1258,3442.287838
94.440476,1258,3450.00603
94.074915,1258,3454.382038
94.298254,1258,3458.323653
94.147789,1258,3466.077701
94.185083,1258,3470.232788
94.298741,1258,3473.674758
94.394738,1258,3481.12652
94.379525,1258,3485.131027
94.161089,1258,3488.497904
94.147259,1258,3495.809232
94.220422,1258,3499.720281
94.03118,1258,3503.062656
94.279866,1258,3511.288881
94.401276,1258,3515.979914
94.345974,1258,3520.525769
94.198508,1258,3528.832309
94.25742,1258,3533.164864
94.061032,1258,3536.531716
94.529484,1258,3544.111431
94.447805,1258,3548.194763
94.501398,1258,3551.555766
94.302064,1258,3558.889425
94.488894,1258,3562.823805
94.315759,1258,3566.133225
94.323461,1258,3573.18147
94.483455,1258,3577.243272
94.383706,1258,3580.530598
94.464452,1258,3588.236003
94.433014,1258,3592.327465
94.273564,1258,3595.782487
94.580282,1258,3602.924239
94.620525,1258,3606.854423
94.354327,1258,3610.663329
94.507404,1258,3618.391937
94.458177,1258,3622.643713
94.525735,1258,3626.128695
94.667569,1258,3633.518571
94.427533,1258,3637.573879
94.740911,1258,3641.093274
94.574269,1258,3648.618047
94.438429,1258,3652.57981
94.540674,1258,3655.848155
94.6541,1258,3663.215632
94.577594,1258,3667.271734
94.568678,1258,3670.615176
